iter	Passed	Remaining
411	3384	4830
412	3392	4821
413	3399	4811
414	3406	4802
415	3414	4793
416	3422	4785
417	3431	4777
418	3439	4769
419	3448	4761
420	3456	4753
421	3466	4748
422	3476	4741
423	3485	4734
424	3493	4726
425	3501	4718
426	3510	4710
427	3518	4702
428	3527	4694
429	3535	4686
430	3544	4678
431	3551	4670
432	3560	4662
433	3567	4652
434	3575	4644
435	3584	4636
436	3592	4627
437	3599	4618
438	3608	4611
439	3617	4603
440	3624	4594
441	3633	4587
442	3642	4580
443	3651	4573
444	3660	4565
445	3669	4557
446	3677	4549
447	3686	4541
448	3694	4533
449	3702	4524
450	3710	4517
451	3719	4509
452	3726	4500
453	3734	4490
454	3741	4481
455	3749	4473
456	3759	4467
457	3767	4458
458	3776	4451
459	3786	4445
460	3795	4437
461	3803	4429
462	3811	4421
463	3819	4412
464	3827	4403
465	3834	4394
466	3841	4384
467	3849	4375
468	3856	4366
469	3865	4358
470	3873	4350
471	3880	4341
472	3888	4331
473	3896	4323
474	3904	4315
475	3912	4307
476	3921	4300
477	3930	4292
478	3939	4285
479	3949	4278
480	3957	4270
481	3966	4262
482	3975	4255
483	3984	4247
484	3992	4239
485	4002	4233
486	4011	4225
487	4021	4218
488	4030	4211
489	4039	4204
490	4047	4196
491	4056	4188
492	4064	4179
493	4072	4171
494	4079	4162
495	4087	4152
496	4100	4149
497	4110	4143
498	4120	4137
499	4131	4131
500	4141	4124
501	4154	4121
502	4165	4116
503	4175	4109
504	4185	4102
505	4196	4097
506	4206	4090
507	4216	4083
508	4225	4076
509	4235	4069
510	4244	4062
511	4254	4055
512	4264	4048
513	4274	4041
514	4283	4033
515	4293	4026
516	4302	4019
517	4311	4011
518	4320	4004
519	4328	3995
520	4337	3987
521	4344	3978
522	4352	3970
523	4360	3961
524	4368	3952
525	4375	3943
526	4383	3934
527	4390	3924
528	4397	3915
529	4405	3907
530	4413	3898
531	4421	3889
532	4428	3880
533	4436	3871
534	4444	3863
535	4452	3854
536	4459	3845
537	4468	3837
538	4476	3828
539	4484	3820
540	4493	3812
541	4502	3804
542	4511	3796
543	4520	3788
544	4529	3781
545	4538	3773
546	4547	3765
547	4556	3758
548	4565	3750
549	4574	3742
550	4583	3734
551	4592	3726
552	4601	3719
553	4610	3711
554	4620	3704
555	4629	3697
556	4638	3688
557	4645	3680
558	4653	3671
559	4661	3662
560	4668	3653
561	4676	3644
562	4684	3635
563	4691	3627
564	4699	3618
565	4706	3608
566	4713	3599
567	4720	3590
568	4727	3581
569	4735	3572
570	4743	3563
571	4751	3555
572	4758	3546
573	4767	3538
574	4783	3535
575	4795	3530
576	4808	3524
577	4817	3517
578	4829	3511
579	4839	3504
580	4848	3496
581	4855	3487
582	4864	3479
583	4871	3470
584	4879	3461
585	4887	3453
586	4896	3444
587	4905	3436
588	4913	3428
589	4922	3420
590	4930	3412
591	4940	3404
592	4949	3397
593	4959	3389
594	4967	3381
595	4976	3373
596	4986	3365
597	4995	3357
598	5004	3350
599	5013	3342
600	5022	3334
601	5031	3326
602	5039	3317
603	5047	3309
604	5054	3299
605	5062	3291
606	5070	3282
607	5077	3273
608	5084	3264
609	5092	3255
610	5099	3246
611	5106	3237
612	5114	3228
613	5121	3219
614	5129	3211
615	5137	3202
616	5145	3193
617	5153	3185
618	5160	3176
619	5167	3167
620	5175	3158
621	5182	3149
622	5190	3140
623	5197	3132
624	5205	3123
625	5212	3114
626	5219	3105
627	5227	3096
628	5234	3087
629	5241	3078
630	5249	3069
631	5256	3060
632	5264	3052
633	5271	3043
634	5279	3034
635	5287	3025
636	5294	3017
637	5301	3008
638	5309	2999
639	5317	2990
640	5324	2982
641	5332	2973
642	5339	2964
643	5347	2955
644	5354	2947
645	5362	2938
646	5370	2929
647	5378	2921
648	5386	2913
649	5395	2905
650	5404	2897
651	5414	2889
652	5437	2889
653	5449	2883
654	5463	2877
655	5474	2870
656	5488	2865
657	5498	2857
658	5508	2850
659	5517	2842
660	5526	2834
661	5534	2825
662	5541	2816
663	5549	2808
664	5556	2799
665	5563	2790
666	5571	2781
667	5578	2772
668	5585	2763
669	5592	2754
670	5600	2745
671	5607	2736
672	5614	2728
673	5621	2718
674	5628	2709
675	5635	2701
676	5642	2692
677	5650	2683
678	5658	2674
679	5665	2666
680	5674	2658
681	5683	2650
682	5692	2642
683	5702	2634
684	5712	2626
685	5721	2618
686	5731	2611
687	5740	2603
688	5749	2595
689	5759	2587
690	5768	2579
691	5777	2571
692	5786	2563
693	5795	2555
694	5803	2546
695	5812	2538
696	5820	2530
697	5829	2522
698	5837	2513
699	5846	2505
700	5854	2497
701	5862	2488
702	5870	2480
703	5879	2471
704	5888	2464
705	5896	2455
706	5905	2447
707	5913	2439
708	5923	2431
709	5932	2422
710	5941	2414
711	5950	2407
712	5960	2399
713	5970	2391
714	5979	2383
715	5989	2375
716	5999	2367
717	6008	2360
718	6018	2352
719	6028	2344
720	6038	2336
721	6047	2328
722	6057	2320
723	6066	2312
724	6075	2304
725	6084	2296
726	6092	2287
727	6100	2279
728	6108	2270
729	6116	2262
730	6124	2253
731	6132	2245
732	6139	2236
733	6146	2227
734	6154	2218
735	6162	2210
736	6169	2201
737	6178	2193
738	6186	2184
739	6194	2176
740	6203	2168
741	6212	2159
742	6220	2151
743	6229	2143
744	6238	2135
745	6247	2127
746	6257	2119
747	6265	2110
748	6275	2102
749	6284	2094
750	6292	2086
751	6301	2078
752	6310	2069
753	6318	2061
754	6328	2053
755	6336	2045
756	6344	2036
757	6351	2027
758	6359	2019
759	6366	2010
760	6374	2001
761	6381	1993
762	6390	1984
763	6397	1976
764	6405	1967
765	6413	1959
766	6420	1950
767	6427	1941
768	6435	1933
769	6443	1924
770	6451	1916
771	6458	1907
772	6465	1898
773	6473	1890
774	6480	1881
775	6488	1872
776	6495	1864
777	6503	1855
778	6512	1847
779	6521	1839
780	6530	1831
781	6539	1822
782	6548	1814
783	6556	1806
784	6565	1798
785	6575	1790
786	6584	1782
787	6593	1773
788	6603	1765
789	6612	1757
790	6621	1749
791	6631	1741
792	6640	1733
793	6650	1725
794	6659	1717
795	6667	1708
796	6676	1700
797	6684	1692
798	6691	1683
799	6699	1674
800	6707	1666
801	6714	1657
802	6721	1649
803	6729	1640
804	6737	1632
805	6745	1623
806	6753	1615
807	6760	1606
808	6767	1597
809	6775	1589
810	6783	1580
811	6790	1572
812	6797	1563
813	6805	1554
814	6812	1546
815	6820	1537
816	6827	1529
817	6835	1520
818	6843	1512
819	6850	1503
820	6858	1495
821	6866	1486
822	6873	1478
823	6881	1469
824	6888	1461
825	6896	1452
826	6904	1444
827	6913	1436
828	6922	1427
829	6931	1419
830	6940	1411
831	6949	1403
832	6958	1394
833	6966	1386
834	6975	1378
835	6984	1370
836	6992	1361
837	7001	1353
838	7011	1345
839	7021	1337
840	7030	1329
841	7039	1320
842	7047	1312
843	7055	1304
844	7064	1295
845	7072	1287
846	7080	1279
847	7088	1270
848	7096	1262
849	7104	1253
850	7112	1245
851	7119	1236
852	7127	1228
853	7134	1219
854	7142	1211
855	7150	1202
856	7157	1194
857	7165	1185
858	7172	1177
859	7179	1168
860	7187	1160
861	7194	1151
862	7201	1143
863	7209	1134
864	7217	1126
865	7224	1117
866	7232	1109
867	7240	1101
868	7248	1092
869	7256	1084
870	7264	1075
871	7271	1067
872	7279	1058
873	7286	1050
874	7294	1042
875	7301	1033
876	7309	1025
877	7317	1016
878	7324	1008
879	7331	999
880	7339	991
881	7347	982
882	7355	974
883	7362	966
884	7370	957
885	7378	949
886	7387	941
887	7395	932
888	7406	924
889	7415	916
890	7424	908
891	7434	900
892	7443	891
893	7452	883
894	7461	875
895	7470	867
896	7480	858
897	7489	850
898	7498	842
899	7508	834
900	7516	825
901	7524	817
902	7533	809
903	7541	800
904	7549	792
905	7557	784
906	7565	775
907	7573	767
908	7580	758
909	7588	750
910	7596	742
911	7604	733
912	7612	725
913	7620	717
914	7628	708
915	7636	700
916	7644	691
917	7651	683
918	7659	675
919	7666	666
920	7674	658
921	7681	649
922	7689	641
923	7697	633
924	7704	624
925	7712	616
926	7719	607
927	7727	599
928	7734	591
929	7742	582
930	7749	574
931	7757	565
932	7764	557
933	7771	549
934	7779	540
935	7786	532
936	7794	524
937	7802	515
938	7810	507
939	7818	499
940	7826	490
941	7833	482
942	7841	474
943	7849	465
944	7857	457
945	7864	448
946	7871	440
947	7879	432
948	7886	423
949	7893	415
950	7901	407
951	7908	398
952	7916	390
953	7923	382
954	7931	373
955	7939	365
956	7947	357
957	7955	348
958	7964	340
959	7973	332
960	7983	323
961	7992	315
962	8002	307
963	8011	299
964	8020	290
965	8031	282
966	8041	274
967	8051	266
968	8061	257
969	8071	249
970	8082	241
971	8092	233
972	8103	224
973	8112	216
974	8122	208
975	8131	199
976	8139	191
977	8147	183
978	8156	174
979	8164	166
980	8172	158
981	8180	149
982	8189	141
983	8199	133
984	8207	124
985	8216	116
986	8225	108
987	8233	100
988	8241	91
989	8249	83
990	8257	74
991	8266	66
992	8274	58
993	8283	49
994	8291	41
995	8299	33
996	8307	24
997	8315	16
998	8323	8
999	8331	0
